时间,设备ID,温度(℃),电压(V),直流加热,电源反接,成功,错误码
2026-05-21 09:56:02,1_1_0010,28,104,否,否,是,
2026-05-21 09:56:03,1_1_0008,28,104,否,否,是,
2026-05-21 09:56:11,1_1_0005,28,104,否,否,是,
2026-05-21 09:56:14,1_1_0009,28,104,否,否,是,
2026-05-21 09:56:24,1_1_0007,28,104,否,否,是,
2026-05-21 09:56:32,1_1_0003,28,104,否,否,是,
2026-05-21 09:56:42,1_1_0006,28,104,否,否,是,
2026-05-21 09:56:50,1_1_0004,28,104,否,否,是,
2026-05-21 09:57:01,1_1_0002,28,104,否,否,是,
2026-05-21 09:57:10,1_1_0001,28,104,否,否,是,
2026-05-21 09:57:43,1_1_0010,28,104,否,否,是,
2026-05-21 09:57:44,1_1_0008,28,104,否,否,是,
2026-05-21 09:57:47,1_1_0005,28,104,否,否,是,
2026-05-21 09:57:51,1_1_0009,28,104,否,否,是,
2026-05-21 09:57:57,1_1_0007,28,104,否,否,是,
2026-05-21 09:58:03,1_1_0003,28,104,否,否,是,
2026-05-21 09:58:12,1_1_0006,28,104,否,否,是,
2026-05-21 09:58:24,1_1_0004,28,104,否,否,是,
2026-05-21 09:58:37,1_1_0002,28,104,否,否,是,
2026-05-21 09:58:48,1_1_0001,28,104,否,否,是,
2026-05-21 09:59:21,1_1_0010,28,104,否,否,是,
2026-05-21 09:59:22,1_1_0008,28,104,否,否,是,
2026-05-21 09:59:27,1_1_0005,28,104,否,否,是,
2026-05-21 09:59:31,1_1_0009,28,104,否,否,是,
2026-05-21 09:59:36,1_1_0007,28,104,否,否,是,
2026-05-21 09:59:47,1_1_0003,28,104,否,否,是,
2026-05-21 09:59:56,1_1_0006,28,104,否,否,是,
2026-05-21 10:00:06,1_1_0004,28,104,否,否,是,
2026-05-21 10:00:22,1_1_0002,28,104,否,否,是,
2026-05-21 10:00:34,1_1_0001,28,104,否,否,是,
2026-05-21 10:01:06,1_1_0010,28,104,否,否,是,
2026-05-21 10:01:07,1_1_0008,28,104,否,否,是,
2026-05-21 10:01:15,1_1_0005,28,104,否,否,是,
2026-05-21 10:01:20,1_1_0009,28,104,否,否,是,
2026-05-21 10:01:28,1_1_0007,28,104,否,否,是,
2026-05-21 10:01:36,1_1_0003,28,104,否,否,是,
2026-05-21 10:01:47,1_1_0006,28,104,否,否,是,
2026-05-21 10:01:55,1_1_0004,28,104,否,否,是,
2026-05-21 10:02:09,1_1_0002,28,104,否,否,是,
2026-05-21 10:02:20,1_1_0001,28,104,否,否,是,
2026-05-21 10:02:51,1_1_0010,28,104,否,否,是,
2026-05-21 10:02:52,1_1_0008,28,104,否,否,是,
2026-05-21 10:02:56,1_1_0005,28,104,否,否,是,
2026-05-21 10:02:59,1_1_0009,28,104,否,否,是,
2026-05-21 10:03:06,1_1_0007,28,104,否,否,是,
2026-05-21 10:03:17,1_1_0003,28,104,否,否,是,
2026-05-21 10:03:25,1_1_0006,28,104,否,否,是,
2026-05-21 10:03:35,1_1_0004,28,104,否,否,是,
2026-05-21 10:03:49,1_1_0002,28,104,否,否,是,
2026-05-21 10:04:03,1_1_0001,28,104,否,否,是,
2026-05-21 10:04:35,1_1_0010,28,104,否,否,是,
2026-05-21 10:04:37,1_1_0008,28,104,否,否,是,
2026-05-21 10:04:44,1_1_0005,28,104,否,否,是,
2026-05-21 10:04:47,1_1_0009,28,104,否,否,是,
2026-05-21 10:04:53,1_1_0007,28,104,否,否,是,
2026-05-21 10:05:02,1_1_0003,28,104,否,否,是,
2026-05-21 10:05:13,1_1_0006,28,104,否,否,是,
2026-05-21 10:05:22,1_1_0004,28,104,否,否,是,
2026-05-21 10:05:35,1_1_0002,28,104,否,否,是,
2026-05-21 10:05:46,1_1_0001,28,104,否,否,是,
2026-05-21 10:06:17,1_1_0010,28,104,否,否,是,
2026-05-21 10:06:18,1_1_0008,28,104,否,否,是,
2026-05-21 10:06:25,1_1_0005,28,104,否,否,是,
2026-05-21 10:06:33,1_1_0009,28,104,否,否,是,
2026-05-21 10:06:41,1_1_0007,28,104,否,否,是,
2026-05-21 10:06:48,1_1_0003,28,104,否,否,是,
2026-05-21 10:06:57,1_1_0006,28,104,否,否,是,
2026-05-21 10:07:09,1_1_0004,28,104,否,否,是,
2026-05-21 10:07:23,1_1_0002,28,104,否,否,是,
2026-05-21 10:07:38,1_1_0001,28,104,否,否,是,
2026-05-21 10:08:09,1_1_0010,28,104,否,否,是,
2026-05-21 10:08:11,1_1_0008,28,104,否,否,是,
2026-05-21 10:08:17,1_1_0005,28,104,否,否,是,
2026-05-21 10:08:21,1_1_0009,28,104,否,否,是,
2026-05-21 10:08:26,1_1_0007,28,104,否,否,是,
2026-05-21 10:08:35,1_1_0003,28,104,否,否,是,
2026-05-21 10:08:44,1_1_0006,28,104,否,否,是,
2026-05-21 10:08:55,1_1_0004,28,104,否,否,是,
2026-05-21 10:09:06,1_1_0002,28,104,否,否,是,
2026-05-21 10:09:20,1_1_0001,28,104,否,否,是,
2026-05-21 10:09:50,1_1_0010,28,104,否,否,是,
2026-05-21 10:09:51,1_1_0008,28,104,否,否,是,
2026-05-21 10:09:56,1_1_0005,28,104,否,否,是,
2026-05-21 10:10:00,1_1_0009,28,104,否,否,是,
2026-05-21 10:10:07,1_1_0007,28,104,否,否,是,
2026-05-21 10:10:13,1_1_0003,28,104,否,否,是,
